ID Info,Initial Order,ASIN,URL,title,title_short,date_released,Release date,Maker Info,Brand,manufacturer,Model Name,item_model,cntry_of_origin,Is Discontinued By Manufacturer,Monetary Info,price_actual,price_list,Hardware,display_type,Operating System,Connectivity Technology,wireless_comm_stndrd,gps_raw,memory_capacity,memory_capacity_2,memory_capacity_mb,Battery,Battery Cell Composition,battery_type,batter_capacity,Battery Power Rating,Physical Features,Shape,Screen Size,Starting Units of Measurement,scrn_size_inch,item_weight_raw,raw_wght_units,weight_in_oz,prod_dim_raw,standing_screen_dsply_size,Style,Color,package_dmnsn,Display resolution,Scanner Resolution,"Info about Listing (ie. Review info, ratings, etc.)",rvw_avg,cutomer_reviews,cutomer_reviews_1,cutomer_reviews_2,cutomer_reviews_3,num_of_ratings,best_sellers_rank,dept,Language,,Special Feature,See More?,OS,Wireless communication technologies,Connectivity technologies,Special features,Display technology,Other display features,Human Interface Input,Whats in the box,Weight,WeightUnit,weight_oz,Ram Memory Installed Size,Ram_unit,ram_converted,,Age Range (Description),Compatible Devices,Case Material,Type of item,Target Audience,Form Factor,Manufacturer recommended age,Material,UPC
,41,B08KRN16GG,https://www.amazon.com/New-Apple-Watch-GPS-40mm/dp/B08KRN16GG/ref=zg_bs_g_7939901011_d_sccl_41/139-0075924-6532933?psc=1,"Apple Watch SE (GPS, 40mm) - Space Gray Aluminum Case with Black Sport Band (Renewed)","Apple_Watch_SE_(GPS,_40mm",10/6/2020,,,,Apple Computer,,A2351,,,,$133.00,$145.00,,,WatchOS,GPS,Bluetooth,TRUE,32,Gibyte,32,,Lithium Ion,1 Lithium Ion batteries required. (included),296,,,Apple,40,mm,1.575,1.1,ozm,1.1,14 x 6 x 4 inches,40 Millimeters,,Space Gray Aluminum Case,,,,,4.30,"4.3
2,082 ratings
4.3 out of 5 stars",4.3,"2,082 ratings",4.3 out of 5 stars,"2,082","#127 in Amazon Renewed (See Top 100 in Amazon Renewed)
#15 in Renewed Smartwatches
#26 in Men's Smartwatches
#99 in Smartwatches",mens,,,"Time Display, GPS, Sleep Monitor, Text Messaging, Voice Call, Phone Call, SOS Button, Wireless Charging, Notifications, Music Player, Multisport Tracker, Heart Rate Monitor, Fall Detection, Contactless Payments, Calendaring, Breath Monitor, Audio Recording, Alarm Clock, Activity Tracker, Accelerometer",FALSE,WatchOS,"Bluetooth, Wi-Fi, NFC",GPS,"Time Display, GPS, Sleep Monitor, Text Messaging, Voice Call, Phone Call, SOS Button, Wireless Charging, Notifications, Music Player, Multisport Tracker, Heart Rate Monitor, Fall Detection, Contactless Payments, Calendaring, Breath Monitor, Audio Recording, Alarm Clock, Activity Tracker, Accelerometer",OLED,Wireless,Touchscreen,Charging Cable,1.1,ozm,1.1,,,,,,,,,,,,,
,11,B0B4MZWCXK,https://www.amazon.com/Fitbit-Smartwatch-Readiness-Exercise-Waterfall/dp/B0B4MZWCXK/ref=zg_bs_g_7939901011_d_sccl_11/139-0075924-6532933?psc=1,"Fitbit Versa 4 Fitness Smartwatch with Daily Readiness, GPS, 24/7 Heart Rate, 40+ Exercise Modes, Sleep Tracking and more, Waterfall Blue/Platinum, One Size (S & L Bands Included)",Fitbit_Versa_4_Fitness_Sm,9/23/2022,,,Fitbit,Fitbit Inc,,6514031,China,,,$199.95,$59.95,,,Fitbit OS,USB,Bluetooth,Built-in GPS,,,,,Lithium Ion,1 Lithium Ion batteries required.,144 Hours,,,Heart,1.34,in,1.34,7,ozm,7,1.57 x 0.43 x 1.57 inches,1.34 Inches,,Waterfall Blue/Platinum,,,,,4.30,"4.3
11,793 ratings
4.3 out of 5 stars",4.3,"11,793 ratings",4.3 out of 5 stars,"11,793","#1,253 in Electronics (See Top 100 in Electronics)
#17 in Smartwatches",mens,,,"Activity Tracker, GPS, Sleep Monitor, Stress Tracking, Heart Rate Monitor, Water Resistant, Alaram Clock, Notifications, Phone Call, Text Messaging, Bluetooth",FALSE,Fitbit OS,Bluetooth,USB,"Activity Tracker, GPS, Sleep Monitor, Stress Tracking, Heart Rate Monitor, Water Resistant, Alaram Clock, Notifications, Phone Call, Text Messaging, Bluetooth",,Wireless,Touchscreen,"Watch, Band",7.04,ozm,7.04,,,,,,,,,,,,,
,26,B0BS4D5C8D,https://www.amazon.com/Apple-Watch-GPS-45mm-Midnight/dp/B0BS4D5C8D/ref=zg_bs_g_7939901011_d_sccl_26/139-0075924-6532933?psc=1,"Apple Watch Series 8 [GPS, 45mm] - Midnight Aluminum Case with Midnight Sport Band, M/L (Renewed)",Apple_Watch_Series_8_[GPS,1/11/2023,,,Apple,Apple,,Apple Watch Series 8,,,,$204.99,$249.00,,,WatchOS,USB,,Built-in GPS,32,Gibyte,32,,Lithium Ion,1 Lithium Ion batteries required.,282,,,"Apple,Car,Irregular",45,mm,1.772,8,ozm,8,,45 Millimeters,,,,,,,4.30,"4.3
3,308 ratings
4.3 out of 5 stars",4.3,"3,308 ratings",4.3 out of 5 stars,"3,308","#2,118 in Electronics (See Top 100 in Electronics)
#9 in Renewed Smartwatches
#44 in Smartwatches",Unisex,,,"Activity Tracker, Heart Rate Monitor, Sleep Monitor, Oxymeter (SpO2), ECG, Body Temperature Monitor, Fall Detection, SOS Button, Phone Call, Notification, Music Player, Elevation Tracker, Cycle Tracking, Accelerometer, GPS",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,88,,https://www.amazon.com/Fitbit-Advanced-Smartwatch-Platinum-Included/dp/B0B4N7LSM6/ref=zg_bs_g_7939901011_d_sccl_88/139-0075924-6532933?psc=1,"Fitbit Sense 2 Advanced Health and Fitness Smartwatch with Tools to Manage Stress and Sleep, ECG App, SpO2, 24/7 Heart Rate and GPS, Lunar White/Platinum, One Size (S & L Bands Included)",Fitbit_Sense_2_Advanced_H,,,,Fitbit,,,,,,,$241.99,$299.95,,,iOS,GPS,Bluetooth,Built-in GPS,6,Gibyte,6,,Lithium Ion,,,,,Heart,43,mm,1.693,,,,,,,,,,,,4.20,,,,,,,,,,"Sleep Monitor, Stress Tracking, ECG, Heart Rate Monitor, GPS, Activity Tracker, Water Resistant, Bluetooth Call and Message, Notifications, Alexa Built-in",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,94,B09WTV6MMY,https://www.amazon.com/Garmin-Forerunner%C2%AE-Smartwatch-Advanced-Long-Lasting/dp/B09WTV6MMY/ref=zg_bs_g_7939901011_d_sccl_94/139-0075924-6532933?psc=1,"Garmin Forerunner® 255 Music, GPS Running Smartwatch with Music, Advanced Insights, Long-Lasting Battery, Black - 010-02641-20",Garmin_Forerunner®_255_Mu,6/1/2022,,,Garmin,Garmin,,010-02641-20,,,,$335.00,$399.99,,,Android & iOS,"Bluetooth, USB",,TRUE,4,Gibyte,4,,Lithium Ion,1 Lithium Ion batteries required. (included),4 Milliamp Hours,,,Round,1.3,in,1.3,1.7,ozm,1.7,1.8 x 1.8 x 0.5 inches,1.3 Inches,,,,,,,4.60,"4.6
919 ratings
4.6 out of 5 stars",4.6,919 ratings,4.6 out of 5 stars,919,"#8,155 in Electronics (See Top 100 in Electronics)
#209 in Smartwatches",Unisex-Adult,,,"Garmin Coach; Triathlon and Multisport Profiles; Wrist-Based Running Dynamics; Wrist-Based Running Power; Body Battery™ Energy Monitoring, Morning Report; HRV Status; Built-in Sports Apps; Race Adaptive Training Plans; Daily Suggested Workouts",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,50,B0BX4XG53Z,https://www.amazon.com/Apple-Watch-Ultra-Cellular-Titanium/dp/B0BX4XG53Z/ref=zg_bs_g_7939901011_d_sccl_50/139-0075924-6532933?psc=1,"Apple Watch Ultra [GPS + Cellular 49mm] Titanium Case with Midnight Ocean Band, One Size (Renewed)",Apple_Watch_Ultra_[GPS_+_,2/28/2023,,,Apple,Apple,Apple Watch Ultra,Watch Ultra,,,,,$465.00,,,WatchOS,USB,,Built-in GPS,32,Gibyte,32,,Lithium Ion,1 Lithium Ion batteries required.,,,,"Apple,Crown,Heart",1,in,1,5.3,ozm,5.3,0.6 x 1.7 x 1.9 inches,1 Inches,,Midnight,,,,,4.10,"4.1
1,018 ratings
4.1 out of 5 stars",4.1,"1,018 ratings",4.1 out of 5 stars,"1,018","#98 in Amazon Renewed (See Top 100 in Amazon Renewed)
#11 in Renewed Smartwatches
#20 in Men's Smartwatches
#70 in Smartwatches",mens,,,"Activity Tracker, Heart Rate Monitor, Sleep Monitor, GPS, Fall Detection, Distance Tracker, ECG, Oxymeter (SpO2), Cycle Tracking, Body Temperature Monitor, Phone Call, Notification, SOS Button, Elevation Tracker, Accelerometer",FALSE,WatchOS,Cellular,USB,"Activity Tracker, Heart Rate Monitor, Sleep Monitor, GPS, Fall Detection, Distance Tracker, ECG, Oxymeter (SpO2), Cycle Tracking, Body Temperature Monitor, Phone Call, Notification, SOS Button, Elevation Tracker, Accelerometer",,Wireless,"Touchscreen, Dial, Microphone, Buttons","1m Magnetic Charging Cable, Band, Case",,,,,,,,,,,,,,,,
,14,B0D3BP4HVD,https://www.amazon.com/Smart-Watch-Men-Women-Compatible/dp/B0D3BP4HVD/ref=zg_bs_g_7939901011_d_sccl_14/139-0075924-6532933?psc=1,"Smart Watch for Men Women - Answer/Make Calls/Quick Reply/AI Voice Assistant, 1.83"" for Android iPhone Samsung Compatible IP68 Smartwatch Blood Oxygen Heart Rate Fitness Tracker (Black, 1.83"")",Smart_Watch_for_Men_Women,5/5/2024,,,JeeJTek,JeeJTek,,TGW101,China,,,$18.99,$29.99,,,RTOS,Bluetooth,Bluetooth,GPS Via Smartphone,128,Mibyte,0.125,,Lithium Polymer,1 Lithium Polymer batteries required. (included),,,,Square,1.83,in,1.83,2.89,ozm,2.89,,1.83 Inches,,,7.52 x 3.82 x 0.75 inches,,,,4.10,"4.1
178 ratings
4.1 out of 5 stars",4.1,178 ratings,4.1 out of 5 stars,178,"#2,295 in Electronics (See Top 100 in Electronics)
#50 in Smartwatches",,,,"Activity Tracker, Notifications",FALSE,,,,,,,,,,,,0.892,Mibyte,0.000871,,,,,,,,,,
,100,B0DB1TKQPF,https://www.amazon.com/AOLON-Curve-Fitness-Tracker-Waterproof/dp/B0DB1TKQPF/ref=zg_bs_g_7939901011_d_sccl_100/139-0075924-6532933?psc=1,"Curve Smart Watch for Men Women (Answer/Make Call), 2.01"" Fitness Tracker with 120+ Sport Modes Heart Rate Sleep Blood Oxygen Monitor, IP68 Waterproof Fitness Watch for Android iOS, Black",Curve_Smart_Watch_for_Men,7/24/2024,,,,AOLON,,Aolon Curve,,,,$20.99,$99.99,,,Android & iOS,Bluetooth,Bluetooth,No GPS,640,Mibyte,0.625,,Lithium Ion,1 Lithium Ion batteries required. (included),300 Milliamp Hours,,,Square,2.01,in,2.01,4.2,ozm,4.2,,2.01 Inches,,,6.34 x 3.86 x 0.94 inches,,,,3.60,"3.6
21 ratings
3.6 out of 5 stars",3.6,21 ratings,3.6 out of 5 stars,21,"#71,795 in Electronics (See Top 100 in Electronics)
#1,497 in Smartwatches",,,,"Multisport Tracker, Weather Forecast, Activity Tracker, Alarm Clock, Notifications",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,16,B0D3BNKMG8,https://www.amazon.com/Samsung-Android-Compatible-Waterproof-Smartwatch/dp/B0D3BNKMG8/ref=zg_bs_g_7939901011_d_sccl_16/139-0075924-6532933?psc=1,"Smart Watch for Women Men Answer/Make Calls/Quick Reply, Samsung Android iPhone Compatible Fitness Tracker with 100+ Sport Modes, Heart Rate Blood Oxygen Sleep Monitor IP68 Waterproof Smartwatch",Smart_Watch_for_Women_Men,5/5/2024,,,JeeJTek,JeeJTek,,TGW008,China,,,$25.99,$39.99,,,"RTOS, smartwatch","Bluetooth, USB",Bluetooth,,128,Mibyte,0.125,,Lithium Polymer,1 Lithium Polymer batteries required. (included),300 Milliamp Hours,,,Round,1.28,in,1.28,3.2,ozm,3.2,10.28 x 1.85 x 0.47 inches,1.28 Inches,,,,,,,4.40,"4.4
179 ratings
4.4 out of 5 stars",4.4,179 ratings,4.4 out of 5 stars,179,"#1,727 in Electronics (See Top 100 in Electronics)
#26 in Smartwatches",,,,"Time Display, Alarm Clock, Daily Workout Memory Calendaring, Cycle Tracking, Daily Workout Memory, Multisport Tracker, Sedentary Reminder, Voice Control, Phone Call, Notifications, Music Player",FALSE,,,,,,,,,,,,0.892,Mibyte,0.000871,,,,,,,,,,
,81,B0BQR71778,https://www.amazon.com/Fitness-Pedometer-Calories-Multiple-Waterproof/dp/B0BQR71778/ref=zg_bs_g_7939901011_d_sccl_81/139-0075924-6532933?psc=1,"Hwagol Smart Watch (Answer/Make Call)2024 Newest 1.85 Inch Fitness Tracker, Heart Rate/Sleep Monitor/Pedometer/Calories, Multiple Sport Modes, Smart Watches for Women Men Android iOS Phones Compatible",Hwagol_Smart_Watch_(Answe,1/3/2023,,,Hwagol,Hwagol,G28,G28,,,,$28.99,$39.99,,,Android,Bluetooth,Bluetooth,,4,Gibyte,4,,Lithium Polymer,1 Lithium Polymer batteries required. (included),,,,Square,1.85,in,1.85,95,g,3.351,1.97 x 0.79 x 0.79 inches,1.85 Inches,,,,,,,3.90,"3.9
5,731 ratings
3.9 out of 5 stars",3.9,"5,731 ratings",3.9 out of 5 stars,"5,731","#2,614 in Electronics (See Top 100 in Electronics)
#63 in Smartwatches",,,,"Activity tracking, Camera, Phone Call, Notifications, Music Player",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,90,B0BQR6RYPJ,https://www.amazon.com/2023-Pedometer-Calories-Multiple-Waterproof/dp/B0BQR6RYPJ/ref=zg_bs_g_7939901011_d_sccl_90/139-0075924-6532933?psc=1,"Hwagol Smart Watch (Answer/Make Call)2024 Newest 1.85 Inch Fitness Tracker, Heart Rate/Sleep Monitor/Pedometer/Calories, Multiple Sport Modes, Smart Watches for Men Women Android iOS Phones Compatible",Hwagol_Smart_Watch_(Answe,1/3/2023,,,Hwagol,Hwagol,G28,G28,,,,$28.99,$39.99,,,Android,Bluetooth,Bluetooth,,4,Gibyte,4,,Lithium Polymer,1 Lithium Polymer batteries required. (included),,,,Square,1.85,in,1.85,95,g,3.351,1.97 x 0.79 x 0.79 inches,1.85,,,,,,,3.90,"3.9
5,731 ratings
3.9 out of 5 stars",3.9,"5,731 ratings",3.9 out of 5 stars,"5,731","#3,581 in Electronics (See Top 100 in Electronics)
#93 in Smartwatches",,,,Activity tracking,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,63,B09J8SKX9G,https://www.amazon.com/GRV-Android-Waterproof-Smartwatch-Calories/dp/B09J8SKX9G/ref=zg_bs_g_7939901011_d_sccl_13/139-0075924-6532933?psc=1,"GRV Smart Watch for iOS and Android Phones (Answer/Make Calls), Watches for Men Women IP68 Waterproof Smartwatch Fitness Tracker Watch with Heart Rate/Sleep Monitor Steps Calories Counter (Black)",GRV_Smart_Watch_for_iOS_a,10/13/2021,,,GRV,GRV,,FC1,China,,,$29.99,$39.99,,,Android & iOS,Bluetooth,Bluetooth,No GPS,128,Mibyte,0.125,,Lithium Ion,1 Lithium Metal batteries required. (included),,,,Square,1.83,in,1.83,34,g,1.199,9.84 x 1.38 x 0.67 inches,1.83 Inches,,,,,,,4.00,"4.0
20,004 ratings
4.0 out of 5 stars",4,"20,004 ratings",4.0 out of 5 stars,"20,004","#2,484 in Electronics (See Top 100 in Electronics)
#56 in Smartwatches",,English,,fitness tracker,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,84,B09J8T6TTH,https://www.amazon.com/GRV-Android-Waterproof-Smartwatch-Calories/dp/B09J8T6TTH/ref=zg_bs_g_7939901011_d_sccl_84/139-0075924-6532933?psc=1,"GRV Smart Watch for iOS and Android Phones (Answer/Make Calls), Watches for Women IP68 Waterproof Smartwatch Fitness Tracker Watch with Heart Rate/Sleep Monitor Steps Calories Counter (Pink)",GRV_Smart_Watch_for_iOS_a,10/13/2021,,,GRV,GRV,,FC1,China,,,$29.99,$39.99,,,Android & iOS,Bluetooth,Bluetooth,No GPS,128,Mibyte,0.125,,Lithium Ion,1 Lithium Metal batteries required. (included),,,,Square,1.83,in,1.83,34,g,1.199,9.84 x 1.38 x 0.67 inches,1.83 Inches,,,,,,,4.00,"4.0
20,004 ratings
4.0 out of 5 stars",4,"20,004 ratings",4.0 out of 5 stars,"20,004","#3,393 in Electronics (See Top 100 in Electronics)
#82 in Smartwatches",,English,,fitness tracker,FALSE,,,,,,,,,,,,128,Mibyte,0.125,,,,,,,,,,
,22,B0D3BMGS6K,https://www.amazon.com/Samsung-Android-Compatible-Waterproof-Smartwatch/dp/B0D3BMGS6K/ref=zg_bs_g_7939901011_d_sccl_22/139-0075924-6532933?psc=1,"Smart Watch for Men Women Answer/Make Calls/Quick Reply, Samsung Android iPhone Compatible Fitness Tracker with 100+ Sport Modes, Heart Rate Blood Oxygen Sleep Monitor IP68 Waterproof Smartwatch",Smart_Watch_for_Men_Women,5/5/2024,,,JeeJTek,JeeJTek,,TGW008,China,,,$29.99,$99.99,,,RTOS,Bluetooth,Bluetooth,,128,Mibyte,0.125,,Lithium Polymer,1 Lithium Polymer batteries required. (included),300 Milliamp Hours,,,Round,1.28,in,1.28,3.2,ozm,3.2,,1.28 Inches,,,7.52 x 3.78 x 0.75 inches,,,,4.40,"4.4
179 ratings
4.4 out of 5 stars",4.4,179 ratings,4.4 out of 5 stars,179,"#5,682 in Electronics (See Top 100 in Electronics)
#151 in Smartwatches",,,,"Time Display, Alarm Clock, Daily Workout Memory Calendaring, Cycle Tracking, Daily Workout Memory, Multisport Tracker, Sedentary Reminder, Voice Control, Activity Tracker, Phone Call, Notifications",FALSE,,,,,,,,,,,,0.892,Mibyte,0.000871,,,,,,,,,,
,47,B0CJJMG4MT,https://www.amazon.com/ZOSKVEE-Fitness-Tracker-Pressure-Monitor/dp/B0CJJMG4MT/ref=zg_bs_g_7939901011_d_sccl_47/139-0075924-6532933?psc=1,"Smart Watch for Women Men(Dial/Answer Calls), 2.0"" Fitness Tracker Watch with Heart Rate/Blood Pressure/Blood Oxygen Monitor for Android iOS",Smart_Watch_for_Women_Men,9/21/2023,,,ZOSKVEE,ZOSKVEE,,P95,China,,,$29.99,$59.98,,,Android & iOS,Bluetooth,Bluetooth,GPS Via Smartphone,,,,,Lithium Polymer,1 Lithium Polymer batteries required. (included),,,,Rectangular,2.01,in,2.01,4.9,ozm,4.9,11.81 x 7.48 x 1.18 inches,2.01 Inches,Modern,Rose Gold+Pink,,,,,3.90,"3.9
4,242 ratings
3.9 out of 5 stars",3.9,"4,242 ratings",3.9 out of 5 stars,"4,242","#2,526 in Electronics (See Top 100 in Electronics)
#59 in Smartwatches",,,,"Make/Answer Call, AI Voice Control, 100+ Sports Modes, 2"" HD Larger Screen, Business Card, Smart Notifications, Elevated Heart Rate Measuring, Blood Pressure/Oxygen Measuring, etc.",FALSE,iOS 9.0 or Android 9.0 and above,,Bluetooth,"Make/Answer Call, AI Voice Control, 100+ Sports Modes, 2"" HD Larger Screen, Business Card, Smart Notifications, Elevated Heart Rate Measuring, Blood Pressure/Oxygen Measuring, etc.",,Wireless,Touchscreen,,0.14,kg,4.938,,,,,,,,,,,,,
,85,B0CGB4SFPT,https://www.amazon.com/TouchScreen-Pedometer-Audiostory-Educational-Birthday/dp/B0CGB4SFPT/ref=zg_bs_g_7939901011_d_sccl_85/139-0075924-6532933?psc=1,"Kids Smart Watch Girls Gift for Girls Aged 6-12, HD TouchScreen Kids Watch with 26 Games Video Camera Music Pedometer Audiostory Learn Card Educational Toys Birthday Gifts for Girls Ages 5 6 7 8 9",Kids_Smart_Watch_Girls_Gi,,,,Vakzovy,Vakzovy,,,,,,$31.98,$40.97,,,,USB,,,,,,,Lithium Polymer,1 Lithium Ion batteries required. (included),,,,Rectangular,1.54,in,1.54,1.76,ozm,1.76,,,Pink,Pink,9.92 x 2.36 x 0.75 inches,,,,4.30,"4.3
699 ratings
4.3 out of 5 stars",4.3,699 ratings,4.3 out of 5 stars,699,"#4,114 in Toys & Games (See Top 100 in Toys & Games)
#22 in Electronic Learning Systems",,,,Camera,FALSE,,,,,,,,,,,,,,,,Kid,,,,Unisex Children,,3 years and up,,
,69,B08KSG7LX2,https://www.amazon.com/Pok%C3%A9mon-Touchscreen-Interactive-Smart-Watch/dp/B08KSG7LX2/ref=zg_bs_g_7939901011_d_sccl_19/139-0075924-6532933?psc=1,"Accutime Kids Pokémon Pikachu Black Digital LED Quartz Wrist-Watch with Camera, Alarm, Timer, Stopwatch, and Games for Boys, Girls, and Toddlers",Accutime_Kids_Pokémon_Pik,10/6/2020,"May 1, 2024",,,Accutime Watch Corp.,,POK4231AZ,China,,,$32.28,$34.94,,,,,,,,,,,Unknown,1 Lithium Ion batteries required. (included),,,,,,,,1.4,ozm,1.4,8.5 x 1.57 x 0.47 inches; 1.4 ounces,,,,,,,,4.50,"4.5
2,441 ratings
4.5 out of 5 stars",4.5,"2,441 ratings",4.5 out of 5 stars,"2,441","#1,929 in Electronics (See Top 100 in Electronics)
#35 in Smartwatches",boys,,,,FALSE,,,,,,,,,,,,,,,,,,,Electronics,,,,,
,30,B09KPCCTBH,https://www.amazon.com/Recorder-Calculator-Calendar-Flashlight-Pedometer/dp/B09KPCCTBH/ref=zg_bs_g_7939901011_d_sccl_30/139-0075924-6532933?psc=1,"Phyulls Smart Watch for Kids, Smart Watch Toys with 24 Games Camera Video Recorder Music Alarm Calculator Calendar Flashlight Stopwatch Pedometer Gift Toys for 3-12 Years Old Boys and Girls (Black)",Phyulls_Smart_Watch_for_K,11/15/2021,,,Phyulls,Phyulls,,S16,China,,,$32.99,$59.99,,,,USB,Radio Frequency,No GPS,512,Mibyte,0.5,,Lithium Ion,1 Lithium Polymer batteries required. (included),450 Milliamp Hours,480,,Rectangular,1.54,in,1.54,3.34,ozm,3.34,9.25 x 1.38 x 0.51 inches,1.54 Inches,,black,,,,,4.30,"4.3
2,382 ratings
4.3 out of 5 stars",4.3,"2,382 ratings",4.3 out of 5 stars,"2,382","#1,910 in Electronics (See Top 100 in Electronics)
#34 in Smartwatches",boys,,,"Camera, Video, Music Player, Pedometer, Flashlight, Alarm Clock, Audio Recording, Calendaring, Calculator, Stopwatch, Games",FALSE,,,USB,"Camera, Video, Music Player, Pedometer, Flashlight, Alarm Clock, Audio Recording, Calendaring, Calculator, Stopwatch, Games",,Wireless,Touchscreen,kids watch,0.1,kg,3.527,,,,,,,,,,,,,
,77,B0D2VW7LVZ,https://www.amazon.com/Military-Watches-Fitness-Waterproof-Pressure/dp/B0D2VW7LVZ/ref=zg_bs_g_7939901011_d_sccl_27/139-0075924-6532933?psc=1,"Military Smart Watches for Men (Answer/Make Calls), 2.02'' Fitness Smart Watch for Android and iPhone, Waterproof Fitness Tracker with Blood Pressure/Heart Rate/Sleep/100+ Sport Modes, Watches for Men",Military_Smart_Watches_fo,4/28/2024,,,,DEKELIFE,,43mt,China,,,$34.99,$49.99,,,Android,Bluetooth,Bluetooth,GPS Via Smartphone,128,Mibyte,0.125,,Lithium Polymer,1 Lithium Polymer batteries required. (included),450 Milliamp Hours,,,Square,2.02,in,2.02,61.7,g,2.176,,2.02 Inches,,,8.66 x 3.74 x 0.75 inches,,,,4.50,"4.5
270 ratings
4.5 out of 5 stars",4.5,270 ratings,4.5 out of 5 stars,270,"#1,937 in Electronics (See Top 100 in Electronics)
#34 in Smartwatches",,,,"Multisport Tracker, Activity Tracker, Phone Call, Notifications, Heart Rate Monitor",FALSE,,,,,,,,,,,,128,Mibyte,0.125,,,,,,,,,,
,38,B0CYTBR1C2,https://www.amazon.com/JOYELE-Fitness-Tracker-Pedometer-Birthday/dp/B0CYTBR1C2/ref=zg_bs_g_7939901011_d_sccl_38/139-0075924-6532933?psc=1,"Smart Watch for Kids Teens, Games Fitness Tracker Boy Girls with 20 Sport Modes, Pedometer, Sleep Monitor, Kids Wrist Watch Birthday Gifts Toy Gift for Girls Boys 6-16 (Purple)",Smart_Watch_for_Kids_Teen,3/22/2024,,,,JOYELE,,H79,China,,,$34.99,Check Page,,,Android & iOS,"Android 4.4 & above, iOS 8.0 & above",Bluetooth,No GPS,128,Mibyte,0.125,,Lithium Polymer,1 Lithium Polymer batteries required.,170 Milliamp Hours,,,Square,1.5,in,1.5,3.87,ozm,3.87,,1.5 Inches,,,10.43 x 3.27 x 0.75 inches,,,,4.30,"4.3
280 ratings
4.3 out of 5 stars",4.3,280 ratings,4.3 out of 5 stars,280,"#24,412 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)
#9 in Girls' Wrist Watches",girls,,,"Touchscreen, Puzzle Games, Calls & Message Notifications, Activity Tracker, Alarm Clock & Timer & Stopwatch",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,45,B0D2L4RNB1,https://www.amazon.com/Smartwatch-Fitness-Waterproof-Pedometer-Activity/dp/B0D2L4RNB1/ref=zg_bs_g_7939901011_d_sccl_45/139-0075924-6532933?psc=1,"Smart Watch, 1.91""Smartwatch for Men Women (Answer/Make Call), Fitness Tracker with 100+ Sport Modes, IP68 Waterproof, Heart Rate/Sleep Monitor, Spo2, Pedometer, Activity Tracker for Android iOS","Smart_Watch,_1.91""Smartwa",4/24/2024,,,Kuizil,Kuizil,Smart Watch,T70,,,,$39.99,$99.99,,,,Bluetooth,Bluetooth,,1,Gibyte,1,,Lithium Ion,1 Lithium Polymer batteries required. (included),300 Milliamp Hours,,,Square,1.91,in,1.91,1.06,ozm,1.06,,1.91 Inches,,,6.85 x 3.74 x 0.87 inches,,,,4.20,"4.2
4,171 ratings
4.2 out of 5 stars",4.2,"4,171 ratings",4.2 out of 5 stars,"4,171","#5,481 in Electronics (See Top 100 in Electronics)
#144 in Smartwatches",,,,"1.91"" HD Color Screen, Voice Call, Activity Tracker, 100+ Sports Modes, IP68 Waterproof",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,35,B07Y4PT2NH,https://www.amazon.com/Fitpolo-Waterproof-Monitoring-Pedometer-Activity/dp/B07Y4PT2NH/ref=zg_bs_g_7939901011_d_sccl_35/139-0075924-6532933?psc=1,"Fitpolo Fitness Tracker with Heart Rate Monitor, Smart Watch 1.8 inches Color Touch Screen IP68 Waterproof Step Calorie Counter Sleep Monitoring Pedometer Watches Activity Tracker for Women Men Kids",Fitpolo_Fitness_Tracker_w,10/28/2019,,,,Fitpolo,,IDW19,China,,,$39.99,$49.99,,,Android & iOS,Wireless,Bluetooth,GPS Via Smartphone,128,Mibyte,0.125,,Lithium Polymer,1 Lithium Polymer batteries required. (included),300 Milliamp Hours,,,Square,1.3,in,1.3,1.34,ozm,1.34,10.11 x 1.57 x 0.48 inches,1.3 Inches,,,,,,,4.00,"4.0
12,892 ratings
4.0 out of 5 stars",4,"12,892 ratings",4.0 out of 5 stars,"12,892","#2,946 in Electronics (See Top 100 in Electronics)
#69 in Smartwatches",,,,"Personalize watch faces,Alexa built-in,Bluetooth calls, Blood oxygen monitor",FALSE,,,,,,,,,,,,128,Mibyte,0.125,,,,,,,,,,
