ID Info,,ASIN,URL,title,title_short,date_released,Maker Info,Brand,manufacturer,Model Name,item_model,cntry_of_origin,Is Discontinued By Manufacturer,Monetary Info,price_actual,price_list,Hardware,Operating System,OS,Connectivity Technology,Wireless Communication Standard,GPS,Wireless communication technologies,Display technology,Other display features,Human Interface Input,memory_capacity,memory_capacity_2,memory_capacity_mb,Battery,Battery Cell Composition,battery_type,battery_num,battery_capac,Battery Life,Physical Features,Style,Shape,Screen Size,Starting Units of Measurement,scrn_size_inch,Color,Product Dimensions,Item Weight,raw_wght_units,weight_in_oz,"Info about Listing (ie. Review info, ratings, etc.)",rvw_avg,Customer Reviews,cutomer_reviews_1,cutomer_reviews_2,cutomer_reviews_3,num_of_ratings,Best Sellers Rank,,Special Feature,See More?
,9,B0CRKS8XDY,https://www.amazon.com/POIUZET-Pressure-Calories-Pedometer-Waterproof/dp/B0CRKS8XDY/ref=zg_bs_g_5393958011_d_sccl_31/145-0980347-9463126?psc=1,"Fitness Tracker, Fitness Watch with Blood Oxygen, Blood Pressure & Heart Rate Monitor, Steps Calories Counter, Sleep Monitor, Pedometer 50 Meters Waterproof, Smart Watch for Android iPhones","Fitness_Tracker,_Fitness_",1/5/2024,,POIUZET,POIUZET,,,,,,$15.99,$79.99,,"Android, iOS",,Wi-Fi,Bluetooth,GPS via Smartphone,,,,,,,,,Lithium Polymer,Lithium Ion,1,,,,"Exercise, Workout",Square,1.3,in,1.3,,5.9 x 3.18 x 0.66 inches,2.39,ozm,2.39,,4,"4.0
173 ratings
4.0 out of 5 stars",4,173 ratings,4.0 out of 5 stars,173,"#6,190 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#45 in Activity & Fitness Trackers",,"Blood Oxygen & Heart Rate Monitor and Sleep Tracker, Smart Notifications, Fitness Tracker, Fitness Watch, Activity Tracker, Pedometer Watch, Step Counter and Calorie Tracking, Waterproof Watch and Multiple Sports Mode Monitoring",FALSE
,16,B0DBG37QBS,https://www.amazon.com/Fitness-Pressure-Activity-Trackers-Waterproof/dp/B0DBG37QBS/ref=zg_bs_g_5393958011_d_sccl_21/145-0980347-9463126?psc=1,"Smart Watch Fitness Tracker with 24/7 Heart Rate, Blood Oxygen Blood Pressure Monitor Sleep Tracker 120 Sports Modes Activity Trackers Step Calorie Counter IP68 Waterproof for Andriod iPhone Women Men",Smart_Watch_Fitness_Track,7/28/2024,,Bestinn,,Fitness Tracker,,,,,$47.99,Check Page,,,,,,GPS via Smartphone,,,,,,,,,Lithium Polymer,,,,,,Modern,Rectangular,1.47,in,1.47,Black,,,,,,4.4,"4.4
114 ratings
4.4 out of 5 stars",4.4,114 ratings,4.4 out of 5 stars,114,"#4,570 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#35 in Activity & Fitness Trackers",,"Drinking Water Reminder, Sedentary Reminder, Menstrual Cycle Reminder, 24/7 Heart Rate, Blood oxygen, Blood pressure monitor; Sleep Tracker, Call and Message Notification, Weather Forecast, Remote Camera Control, Music Player Control, More Than 150 different Watch Faces Style & Customized Watch Face, 120+ Sports Modes Tracking and All-day Activity Tracking",FALSE
,23,B0CS34G3HZ,https://www.amazon.com/Stiive-Activity-Pedometer-Waterproof-Compatible/dp/B0CS34G3HZ/ref=zg_bs_g_5393958011_d_sccl_22/145-0980347-9463126?psc=1,"Stiive Fitness Tracker, Smart Watch for Men Women, Activity Fitness Watch with Heart Rate Monitor, Pedometer, Sleep Monitor, 50 Meters Waterproof Step Tracker Compatible with iOS & Android Phones","Stiive_Fitness_Tracker,_S",1/11/2024,,Stiive,,,,,,,$19.99,$29.99,,,,,,GPS via Smartphone,,,,,,,,,Lithium Polymer,,,,,,Modern,Square,1.3,in,1.3,Purple Gold,,,,,,3.8,"3.8
231 ratings
3.8 out of 5 stars",3.8,231 ratings,3.8 out of 5 stars,231,"#10,449 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#62 in Activity & Fitness Trackers",,"Heart rate monitoring, Message Reminder & Call Reminder, Multiple sports modes and activity tracking, Sedentary Reminder, Goal Completion Reminder, Alarm clock, Wrist sense, pedometer, calorie burned, distance.",FALSE
,22,B0D46SWVN6,https://www.amazon.com/Fitness-Tracker-Pressure-Exercise-Waterproof/dp/B0D46SWVN6/ref=zg_bs_g_5393958011_d_sccl_14/145-0980347-9463126?psc=1,Health Fitness Tracker Smart Watch with Always on Display 24/7 Heart Rate Blood Pressure Blood Oxygen Monitor Sleep Tracker 120+ Exercise Modes Step Calorie Counter IP68 Waterproof for Women Men,Health_Fitness_Tracker_Sm,7/16/2024,,Bestinn,,Fitness Trackers,,,,,$47.99,$79.99,,,,,,GPS via Smartphone,,,,,,,,,Lithium Polymer,,,,,,Modern,Rectangular,1.58,in,1.58,Graphite Black,,,,,,4.3,"4.3
79 ratings
4.3 out of 5 stars",4.3,79 ratings,4.3 out of 5 stars,79,"#122,170 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#352 in Activity & Fitness Trackers",,"Lightweight Design for Sports, Comfortable Straps, 2024 Latest Display Technology, Always on Display, 24/7 Heart Rate Monitor, 24/7 Blood Pressure Monitor, Blood Oxygen Monitor, Sleep Tracker, Breath Training",FALSE
,13,B0CSD1JXSJ,https://www.amazon.com/Fitness-Tracker-Pressure-Pedometer-Waterproof/dp/B0CSD1JXSJ/ref=zg_bs_g_5393958011_d_sccl_8/145-0980347-9463126?psc=1,"Smart Watch Health Fitness Tracker with 24/7 Heart Rate, Blood Oxygen Blood Pressure Sleep Monitor, 115 Sports Modes, Step Calorie Counter Pedometer IP68 Waterproof for Android and iPhone Women Men",Smart_Watch_Health_Fitnes,3/31/2024,,Mindrose,,Fitness Tracker Watch,,,,,$39.99,$69.99,,Android,,USB,,GPS via Smartphone,,,,,,,,,Lithium Polymer,,,,,,Modern,Rectangular,1.47,in,1.47,,,,,,,4.2,"4.2
828 ratings
4.2 out of 5 stars",4.2,828 ratings,4.2 out of 5 stars,828,"#3,169 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#23 in Activity & Fitness Trackers",,"Pedometer, 24/7 Heart Rate Monitor, Blood Oxygen Monitor, Blood Pressure Monitor, Calls and Messages Notification, Tracking More than 115 Sports Activities, Sleep Tracker",FALSE
,8,B0D6Z71147,https://www.amazon.com/ZURURU-Pressure-Upgraded-Waterproof-Pedometer/dp/B0D6Z71147/ref=zg_bs_g_5393958011_d_sccl_23/145-0980347-9463126?psc=1,"ZURURU Fitness Tracker with Blood Pressure Heart Rate Sleep Health Monitor for Men and Women, Upgraded Waterproof Activity Tracker Watch, Step Calorie Counter Pedometer",ZURURU_Fitness_Tracker_wi,6/13/2024,,ZURURU,ZURURU,Y39,Y39FIT,,,,$29.99,$33.99,,,,,Bluetooth,GPS via Smartphone,,,,,,,,,Lithium Polymer,Lithium Polymer,1,,,,"Classic, Modern, Fashion, Sports",Rectangular,0.96,in,0.96,Space Black,0.43 x 0.75 x 1.61 inches,1.76,ozm,1.76,,3.8,"3.8
9,770 ratings
3.8 out of 5 stars",3.8,"9,770 ratings",3.8 out of 5 stars,9770,"#2,475 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#16 in Activity & Fitness Trackers
#36 in Electronics & Gadgets",,"Step Tracker, Pedometer, Calorie Tracker, Sleep Monitor, Long Standby Time 7-10 Days, Multi Sports Tracker, Big Screen Fonts, 20 Alarms Setting, Blood Pressure Monitor, Heart Rate Monitor, Activity Tracker, Physiological Period Reminder, Wrist Sense",FALSE
,78,B0D87G5RYW,https://www.amazon.com/IMFRCHCS-Fitness-Tracker-Activity-Waterproof/dp/B0D87G5RYW/ref=zg_bs_g_5393958011_d_sccl_20/145-0980347-9463126?psc=1,"IMFRCHCS Fitness Tracker, Smart Watch with 1.47"" TFT Touch Display, 137+ Sport Modes Activity Tracker with 24/7 Heart Rate Blood Oxygen and Sleep Monitor, IP68 Waterproof Tracker for Women Men","IMFRCHCS_Fitness_Tracker,",6/27/2024,,IMFRCHCS,IMFRCHCS,,B6,,,,$49.99,$99.99,,"Android, iOS",Android iOS,Bluetooth,Bluetooth,,,,Wireless,Touchscreen,128,Mibyte,0.125,,Lithium Ion,Lithium Ion,1,480 Milliamp Hours,,,,Rectangular,1.47,in,1.47,Starlight,,2.89,ozm,2.89,,4.1,"4.1
598 ratings
4.1 out of 5 stars",4.1,598 ratings,4.1 out of 5 stars,598,"#38,192 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#160 in Activity & Fitness Trackers
#227 in Electronics & Gadgets",,"Activity Tracker, Alarm Clock, Always On Display, Custom Activity Tracking, Daily Workout Memory, Lightweight, Multisport Tracker, Music Player, Notifications, Time Display, Touchscreen",FALSE
,66,,https://www.amazon.com/Fresh-Compatible-Resistant-Breathable-Occasion/dp/B0CT114TC3/ref=zg_bs_g_5393958011_d_sccl_50/145-0980347-9463126?psc=1,"The Fresh Strap- Band Compatible with Whoop 4.0- Odor Resistant, Breathable Nylon Bands Compatible with the Whoop Bands- Easy to use and Perfect for Every Occasion",The_Fresh_Strap-_Band_Com,,,,,,,,,,$24.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,#VALUE!,,,,FALSE
,97,B0DCTSJXXM,https://www.amazon.com/Asmoda-Fitness-Tracker-Activity-Waterproof/dp/B0DCTSJXXM/ref=zg_bs_g_5393958011_d_sccl_95/145-0980347-9463126?psc=1,"Fitness Tracker (Answer/Dial Call), Smart Watch with 1.47"" HD Touch Display, 130+ Sport Modes Activity Tracker with Sleep Monitor, IP68 Waterproof Tracker for Android&iPhone Women Men",Fitness_Tracker_(Answer/D,7/15/2024,,Asmoda,Asmoda,,B7 Pro,,,,$49.99,$89.99,,"Android, iOS",Android/iOS,Bluetooth,802.11b,,,,Wireless,Touchscreen,128,Mibyte,0.125,,Lithium Ion,Lithium Ion,1,480 Milliamp Hours,,,,Round,1.47,in,1.47,Starlight,,2.89,ozm,2.89,,4.5,"4.5
173 ratings
4.5 out of 5 stars",4.5,173 ratings,4.5 out of 5 stars,173,"#28,771 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#128 in Activity & Fitness Trackers
#175 in Electronics & Gadgets",,"Activity Tracker, Alarm Clock, Always On Display, Custom Activity Tracking, Lightweight, Multisport Tracker, Music Player, Notifications, Phone Call, Time Display, Touchscreen, Weather Forecast",FALSE
,2,B0BVDJ3W5L,https://www.amazon.com/EURANS-Calories-Waterproof-Activity-Compatible/dp/B0BVDJ3W5L/ref=zg_bs_g_5393958011_d_sccl_1/145-0980347-9463126?psc=1,"EURANS Smart Watch 45mm, AMOLED Fitness Watch with Heart Rate/Sleep Monitor Steps Calories Counter, IP68 Waterproof Activity Tracker Compatible with Android iOS","EURANS_Smart_Watch_45mm,_",2/16/2023,,EURANS,EURANS,,,,,,$20.99,$79.99,,"Android, iOS, Bluetooth","Android 6.0 / iOS 11.0 or above, Bluetooth 4.0 or above",Bluetooth,Bluetooth,,Bluetooth,AMOLED,,Touchscreen,,,,,Lithium Polymer,Lithium Polymer,1,,,,AMOLED,Square,45,mm,1.772,Black,10.16 x 1.39 x 0.39 inches,3.21,ozm,3.21,,4,"4.0
6,209 ratings
4.0 out of 5 stars",4,"6,209 ratings",4.0 out of 5 stars,6209,"#15,892 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#90 in Activity & Fitness Trackers",,"Activity Tracker, IP68 Waterproof, Pedometer, Sleep Monitor, Heart Rate Monitor, Blood Oxygen Monitor, Calories Tracker, Timer, Stopwatch, Time Display, Weather, Sedentary Reminder, Do Not Disturb Mode, Breath Training, Flashlight, Find Phone, Screen Lock, Raise to Wake, Music Control, Alarm Clock, Sedentary Alert, Drinking Reminder, Smart Notification from Email, Messages, Call, SNS Reminder, Multiple Sport Modes, Built-in Dials, Customized Watch Face, Brightness Settings",FALSE
,41,B09Z6CRHJ6,https://www.amazon.com/Amazfit-Fitness-Tracker-Monitoring-Resistant/dp/B09Z6CRHJ6/ref=zg_bs_g_5393958011_d_sccl_15/145-0980347-9463126?psc=1,"Amazfit Band 7 Fitness & Activity Tracker, Step Monitoring, Heart Rate & SpO2 Monitoring, Virtual Pacer, 18-Day Battery, Sleep Quality Analysis, Alexa Built-In, Water Resistant, (Black)",Amazfit_Band_7_Fitness_&_,7/14/2022,,Amazfit,Amazfit,,A2177-Black,China,,,$44.99,$49.99,,Zepp OS,Zepp OS,Bluetooth,Bluetooth,GPS via Smartphone,Bluetooth 5.2,AMOLED,Wireless,Touchscreen,2300,Mibyte,2.2461,,Lithium Ion,Lithium Polymer,1,,,,,Heart,1.47,in,1.47,Black,1.84 x 0.95 x 0.48 inches,0.96,ozm,0.96,,4,"4.0
7,808 ratings
4.0 out of 5 stars",4,"7,808 ratings",4.0 out of 5 stars,7808,"#1,888 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#10 in Activity & Fitness Trackers",,"ALEXA Built-in, Activity Tracker, Always On Display",FALSE
,29,B09VY7MWFZ,https://www.amazon.com/Garmin-v%C3%ADvofit%C2%AE-Swim-Friendly-Activity-Adventure/dp/B09VY7MWFZ/ref=zg_bs_g_5393958011_d_sccl_15/145-0980347-9463126?psc=1,"Garmin vívofit® jr. 3 Kids Fitness Tracker, Black Cosmic, Up to 1 Year Battery Life, Swim-Friendly, Activity Unlocks Adventure",Garmin_vívofit®_jr._3_Kid,5/4/2022,,Garmin,Garmin,Garmin vivofit jr 3 Kids Fitness Tracker,010-02441-23,Taiwan,,,$89.99,Check Page,,,,"Bluetooth, USB",Infrared,,,,Wireless,Buttons,,,,,Lithium Manganese Dioxide,Lithium Metal,1,,,,vivofit jr 3,Square,0.79,in,0.79,Black Cosmic,0.55 x 0.2 x 0.55 inches,0.88,ozm,0.88,,4.3,"4.3
255 ratings
4.3 out of 5 stars",4.3,255 ratings,4.3 out of 5 stars,255,"#17,428 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#97 in Activity & Fitness Trackers
#105 in Electronics & Gadgets",,Bluetooth,FALSE
,82,B0CLDFGJYK,https://www.amazon.com/Pressure-Tracking-Waterproof-Activity-Pedometer/dp/B0CLDFGJYK/ref=zg_bs_g_5393958011_d_sccl_27/145-0980347-9463126?psc=1,"Health Fitness Tracker 2024 with 24/7 Heart Rate, Blood Oxygen, Blood Pressure, Sleep Tracker, IP68 Waterproof Activity Trackers with Step Tracker, Pedometer (S & L Bands Included)",Health_Fitness_Tracker_20,10/19/2023,,VIPWISE,VIPWISE,D36,D36,,,,$45.99,$79.99,,Android,android,"GPS, Bluetooth",Bluetooth,GPS via Smartphone,,,Wireless,"Dial, Touchscreen, Microphone, Buttons",,,,,Lithium Polymer,Lithium Polymer,1,,,,,Rectangular,1.57,in,1.57,Pinksand,9.8 x 2.91 x 0.67 inches,4.2,ozm,4.2,,3.7,"3.7
436 ratings
3.7 out of 5 stars",3.7,436 ratings,3.7 out of 5 stars,436,"#14,144 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#83 in Activity & Fitness Trackers",,"Cycle Tracking, Activity Tracker, Daily Workout Memory, Always On Display, Phone Call",FALSE
,44,B0CWVLTWHV,https://www.amazon.com/WHOOP-Ultra-Soft-Performance-Durability-Compatible/dp/B0BWZ32CMD/ref=zg_bs_g_5393958011_d_sccl_20/145-0980347-9463126?psc=1,"WHOOP Ultra-Soft SuperKnit Accessory Wristband 4.0 for Enhanced Performance, Comfort and Durability, Compatible 4.0 Wearable Health, Fitness & Activity Tracker, Ace Green",WHOOP_Ultra-Soft_SuperKni,3/1/2024,,,WHOOP,,,,,,$49.00,Check Page,,,,,,,,,Jewelry,,,,,,,,,,,,,,,,,Ace Green,,2.08,ozm,2.08,,4.5,"4.5
401 ratings
4.5 out of 5 stars",4.5,401 ratings,4.5 out of 5 stars,401,"#3,961 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#28 in Activity & Fitness Trackers",,,FALSE
,11,B0D13VX3NP,https://www.amazon.com/RingConn-Subscription-Activity-Waterproof-Compatible/dp/B0D13VX3NP/ref=zg_bs_g_5393958011_d_sccl_45/145-0980347-9463126?psc=1,"RingConn Smart Ring, No App Subscription, Size First with Sizing Kit, 7-Day Battery Life Activity & Sleep Tracker/Stress/Heart Rate Monitor, Waterproof Compatible with iOS & Android(Silver, Size8)","RingConn_Smart_Ring,_No_A",4/8/2024,,RingConn,"Guangdong Jiu Zhi Technology Co., Ltd.",BOR-01,BOR-01,,,,$279.00,$69.99,,,,Bluetooth,,,,,Wireless,,,,,,Lithium Polymer,Lithium Polymer,1,,,,health monitoring,Round,,,,Moonlit Silver,0.72 x 0.72 x 0.3 inches,11.2,ozm,11.2,,4.3,"4.3
154 ratings
4.3 out of 5 stars",4.3,154 ratings,4.3 out of 5 stars,154,,,"Fitness Tracker, Sleep Monitor, Stress index, Activity Tracker, heart-rate-monitor",FALSE
,27,B0CDR56776,https://www.amazon.com/Amzhero-Pressure-Waterproof-Activity-Pedometer/dp/B0CDR56776/ref=zg_bs_g_5393958011_d_sccl_4/145-0980347-9463126?psc=1,"Health Fitness Tracker with 24/7 Heart Rate, Blood Oxygen, Blood Pressure, Sleep Tracker, 5ATM Waterproof Activity Trackers with Step Tracker, Pedometer (S & L Bands Included)…",Health_Fitness_Tracker_wi,8/8/2023,,Amzhero,Amzhero,,,,,,$49.99,$69.99,,,,,Bluetooth,,,,Wireless,Buttons,,,,,Lithium Polymer,Lithium Polymer,1,300 Milliamp Hours,,,Runfit D26,,1.47,in,1.47,Spaceblack,10 x 3.1 x 0.6 inches,1.76,ozm,1.76,,3.7,"3.7
2,568 ratings
3.7 out of 5 stars",3.7,"2,568 ratings",3.7 out of 5 stars,2568,"#1,096 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#6 in Activity & Fitness Trackers",,Heart Rate Monitor,FALSE
,33,B0B5F9SZW7,https://www.amazon.com/Fitbit-Management-Intensity-Tracking-Midnight/dp/B0B5F9SZW7/ref=zg_bs_g_5393958011_d_sccl_1/145-0980347-9463126?psc=1,"Fitbit Inspire 3 Health &-Fitness-Tracker with Stress Management, Workout Intensity, Sleep Tracking, 24/7 Heart Rate and more, Midnight Zen/Black One Size (S & L Bands Included)",Fitbit_Inspire_3_Health_&,9/23/2022,,Fitbit,Fitbit Inc,Inspire 3,B0B5F9SZW7,China,,,$99.95,$79.99,,Android,android,Bluetooth,Bluetooth,GPS via Smartphone,,,Wireless,Touchscreen,,,,,Lithium Ion,Lithium Ion,1,,,,,Rectangular,0.35,in,0.35,Black/Midnight Zen,0.71 x 0.43 x 1.54 inches,0.96,ozm,0.96,,4.3,"4.3
13,996 ratings
4.3 out of 5 stars",4.3,"13,996 ratings",4.3 out of 5 stars,13996,"#25 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#1 in Activity & Fitness Trackers
#1 in Electronics & Gadgets",,Heart Rate Monitor,FALSE
,77,B09LMD1WL4,https://www.amazon.com/Kummel-Waterproof-Activity-Pedometer-Calories/dp/B09LMD1WL4/ref=zg_bs_g_5393958011_d_sccl_19/145-0980347-9463126?psc=1,"Kummel Fitness Tracker with Heart Rate Blood Oxygen Monitor, Activity Tracker Sleep Monitor Health Tracker, Smart Watch Pedometer Step Calories Counter, Fitness Watches for Men Women",Kummel_Fitness_Tracker_wi,11/11/2021,,Kummel,Kummel,ID115PlusHR,ID115PLUSHR,China,,,$19.99,$79.99,,smartphones with Android 4.4 and iOS 7.1 above and Bluetooth 4.0 above.,smartphones with Android 4.4 and iOS 7.1 above and Bluetooth 4.0 above.,Wi-Fi,Bluetooth,GPS via Smartphone,Bluetooth,OLED,Wireless,Touchscreen,,,,,Lithium Polymer,Lithium Polymer,1,,,,,Rectangular,0.96,in,0.96,Black,5.6 x 3.4 x 0.7 inches,1.76,ozm,1.76,,3.7,"3.7
6,062 ratings
3.7 out of 5 stars",3.7,"6,062 ratings",3.7 out of 5 stars,6062,"#11,758 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#70 in Activity & Fitness Trackers",,"Heart Rate Monitor, Slepp Monitor, Activity Tracker, Notifications",FALSE
,90,B0C2HP941B,https://www.amazon.com/LIVIKEY-Activity-Pedometer-Calories-Compatible/dp/B0C2HP941B/ref=zg_bs_g_5393958011_d_sccl_88/145-0980347-9463126?psc=1,"Fitness Tracker Watch with Heart Rate Monitor, Step Counter Activity Tracker with Pedometer & Sleep Monitor, Calories, Step Tracking for Women Men Compatible with Android iOS",Fitness_Tracker_Watch_wit,4/14/2023,,LIVIKEY,LIVIKEY,ID130PlusHR,ID130Plus HR,,,,$16.99,$79.99,,"Android, iOS",iOS 7.0 above & Android 4.4 above Smartphone.,Wi-Fi,Bluetooth,GPS via Smartphone,Bluetooth,OLED,Wireless,Touchscreen,,,,,Lithium Polymer,Lithium Ion,1,,,,,Rectangular,0.96,in,0.96,Purple,6.88 x 3.5 x 0.7 inches,0.811,ozm,0.811,,3.6,"3.6
1,649 ratings
3.6 out of 5 stars",3.6,"1,649 ratings",3.6 out of 5 stars,1649,"#21,620 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#107 in Activity & Fitness Trackers",,"heart rate monitoring, sleep monitoring",FALSE
,34,B0CC62ZG1M,https://www.amazon.com/Fitbit-Exercise-Equipment-6-Months-Membership/dp/B0CC62ZG1M/ref=zg_bs_g_5393958011_d_sccl_2/145-0980347-9463126?psc=1,"Fitbit Charge 6 Fitness Tracker with Google apps, Heart Rate on Exercise Equipment, 6-Months Premium Membership Included, GPS, Health Tools and More, Obsidian/Black, One Size (S & L Bands Included)",Fitbit_Charge_6_Fitness_T,9/28/2023,,Fitbit,Fitbit,,GA05195-WW,,,,$153.00,Check Page,,Android,Android,Wi-Fi,Bluetooth,Built-in GPS,,,Wireless,Buttons,4,Gibyte,4,,,Lithium Ion,1,65 Milliamp Hours,,,,Rectangular,1.04,in,1.04,Black Case w/ Black Band,6 x 4 x 4 inches,4.6,ozm,4.6,,4.1,"4.1
8,792 ratings
4.1 out of 5 stars",4.1,"8,792 ratings",4.1 out of 5 stars,8792,"#125 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#2 in Activity & Fitness Trackers",,"Sleep Monitor, Multisport Tracker, ECG, Activity Tracker, GPS, Contactless Payments",FALSE
,6,B0CX4ZYV85,https://www.amazon.com/TYKOIT-Pedometer-Friendly-Required-Waterproof/dp/B0CX4ZYV85/ref=zg_bs_g_5393958011_d_sccl_19/145-0980347-9463126?psc=1,"Pedometer Watch Senior Friendly No App/Phone Required, Waterproof Fitness Tracker Watch with Step Counter Calories/Sleep Tracker for Walking Running for Men Women",Pedometer_Watch_Senior_Fr,3/5/2024,,TYKOIT,TYKOIT,,,,,,$29.99,Check Page,,,,Bluetooth,,,,LCD,Wireless,Touchscreen,,,,,Lithium Polymer,Lithium Polymer,1,,,,Classic,Square,,,,Black,5.9 x 3.2 x 0.75 inches,2.39,ozm,2.39,,3.9,"3.9
638 ratings
3.9 out of 5 stars",3.9,638 ratings,3.9 out of 5 stars,638,"#1,934 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#12 in Activity & Fitness Trackers
#12 in Electronics & Gadgets",,"Sleep Monitor, Pedometer, Calorie Tracker, Heart Rate Monitor, SpO2 Measurement",FALSE
,26,B0CJ2RQ1C9,https://www.amazon.com/Imzuc-Waterproof-Smartwatch-Compatible-Calories/dp/B0CJ2RQ1C9/ref=zg_bs_g_5393958011_d_sccl_98/145-0980347-9463126?psc=1,"Fitness Tracker Watch, Step Tracker with Heart Rate, Blood Oxygen Sleep Monitor, 5ATM Waterproof Pedometer, Step Calorie Counter, Health Fitness Watch for Sports, Activity Tracker for Women Men","Fitness_Tracker_Watch,_St",9/14/2023,,Imzuc,Imzuc,,,,,,$12.99,$14.99,,,,Wi-Fi,,GPS via Smartphone,,,,,,,,,Lithium Polymer,Lithium Ion,1,,,,Modern,Rectangular,1.5,in,1.5,Black,9.5 x 3.3 x 0.62 inches,2.39,ozm,2.39,,4,"4.0
220 ratings
4.0 out of 5 stars",4,220 ratings,4.0 out of 5 stars,220,"#5,056 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#38 in Activity & Fitness Trackers",,"Weather Forecast, Sedentary Reminder, Do Not Disturb Mode, Night Mode, Timer, Stopwatch, Breath Training, Flashlight, Find Phone, Raise to Wake, Music Control, Alarm Clock, Sedentary Alert, Drinking Reminder, Activity Tracker, Sleep Monitor, Heart Rate Monitor, Blood Oxygen Monitor, Pedometer, Step Calories Tracker",FALSE
,3,B0CW3VWC3X,https://www.amazon.com/SAMSUNG-Display-Watchfaces-Exercise-International/dp/B0CW3VWC3X/ref=zg_bs_g_5393958011_d_sccl_7/145-0980347-9463126?psc=1,"SAMSUNG Galaxy FIT 3 [2024] 1.6"" AMOLED Display | 14 Days Battery Life | 100+ Watchfaces | 100+ Exercise Modes | International Model -",SAMSUNG_Galaxy_FIT_3_[202,2/21/2024,,SAMSUNG,,Samsung Galaxy Fit 3,,,,,$49.99,$54.99,,Android,,Bluetooth,,,,,,,2,Gibyte,2,,,,,208 Milliamp Hours,,,Casual,Rectangular,1.6,in,1.6,,,,,,,4.1,"4.1
493 ratings
4.1 out of 5 stars",4.1,493 ratings,4.1 out of 5 stars,493,"#1,250 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#7 in Activity & Fitness Trackers
#9 in Electronics & Gadgets",,Activity Tracker,FALSE
,75,B0CW3VJFPN,https://www.amazon.com/SAMSUNG-Display-Watchfaces-Exercise-International/dp/B0CW3VJFPN/ref=zg_bs_g_5393958011_d_sccl_17/145-0980347-9463126?psc=1,"SAMSUNG Galaxy FIT 3 [2024] 1.6"" AMOLED Display | 14 Days Battery Life | 100+ Watchfaces | 100+ Exercise Modes | International Model - (Silver)",SAMSUNG_Galaxy_FIT_3_[202,2/21/2024,,SAMSUNG,SAMSUNG,Galaxy Fit 3,SB0009,,,,$48.49,$52.24,,Android,,Bluetooth,Bluetooth,,,,,,1.56,Gibyte,1.56,,Lithium,Lithium Ion,1,208 Milliamp Hours,,,,Rectangular,1.6,in,1.6,,,4.2,ozm,4.2,,4.1,"4.1
247 ratings
4.1 out of 5 stars",4.1,247 ratings,4.1 out of 5 stars,247,"#12,300 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#71 in Electronics & Gadgets
#77 in Activity & Fitness Trackers",,Activity Tracker,FALSE
,4,B0CY6NXX7Y,https://www.amazon.com/KEEPONFIT-Smartwatch-Waterproof-Pedometer-Fitness/dp/B0CY6NXX7Y/ref=zg_bs_g_5393958011_d_sccl_12/145-0980347-9463126?psc=1,"Smart Watch, 1.83"" Touch Screen Smartwatch with Alexa Built-in IP68 Waterproof, Pedometer,Fitness Tracker with 100 Sports Modes Heart Rate/SpO2/Stress/Sleep Monitor for Men and Women","Smart_Watch,_1.83""_Touch_",5/6/2024,,KEEPONFIT,KEEPONFIT,IDW26,,,,,$29.99,$32.99,,General,,Bluetooth,,GPS via Smartphone,,,,,,,,,Lithium Ion,Lithium Ion,1,,,,Casual,Rectangular,1.83,in,1.83,,,3.2,ozm,3.2,,4.7,"4.7
354 ratings
4.7 out of 5 stars",4.7,354 ratings,4.7 out of 5 stars,354,"#2,712 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#18 in Activity & Fitness Trackers",,"Activity Tracker, Alarm Clock, Daily Workout Memory, Phone Call, Notifications",FALSE
